num_of_lic,bank_name,l_in_foreign_MOODYS,l_in_nat_MOODYS,MOODYS,s_in_foreign_MOODYS,s_in_nat_MOODYS,on_nat_MOODYS,fin_stab_MOODYS,dates_MOODYS,EXPERT_RA,EXPERT_RA_prognosis,EXPERT_RA_dates,NRA,NRA_prognosis,NRA_dates,AK&M,AK&M_prognosis,AK&M_dates
1354.0,Российский Национальный Коммерческий Банк,,,,,,,,,ruA-,стабильный,25.04.2017,,,,,,
328.0,Россия,отозван,отозван,отозван,отозван,отозван,отозван,отозван,15.04.2013,ruAA,стабильный,05.06.2017,,,,,,
2888.0,Рост Банк,,,,,,,,,отозван,-,21.04.2015,,,,,,
783.0,Роял Кредит Банк,,,,,,,,,A,стабильный,26.01.2017,,,,,,
3098.0,Рублев,,,,,,,,,отозван,,05.11.2015,,,,A,стабильный,17.11.2016
2093.0,РусЮгбанк,,,,,,,,,ruBBB,стабильный,03.05.2017,,,,,,
3403.0,Руснарбанк,,,,,,,,,ruBBB-,стабильный,26.05.2017,,,,,,
1968.0,Русский Ипотечный Банк,,,,,,,,,отозван,,05.04.2016,A-,стабильный,17.06.2016,,,
469.0,Русский Национальный Банк,,,,,,,,,,,,отозван,,09.09.2011,,,
2289.0,Русский Стандарт,Caa2,Caa2,негативный,NP,NP,отозван,E+,18.03.2016,,,,отозван,,14.05.2015,,,
2842.0,Русский Торговый Банк,,,,,,,,,отозван,,14.04.2017,,,,,,
1792.0,Русфинанс Банк,Ba2,Ba1,стабильный,NP,NP,,E+,21.02.2017,,,,,,,,,
